stop_name,avg_delay,factor
Peenya Industry Metro Station,5.228703183520599,1.643
Prasanna Theatre,5.639171348314607,1.708
RM Guttahalli,5.906053370786517,1.87
Rajarajeshwari nagara Gate,5.684873595505618,1.698
Rayan Circle,5.469480337078651,1.715
Richmond Circle,5.8987687265917605,1.891
Roopena Agrahara,5.295514981273408,1.681
SI Apartment HSR Layout,5.037373595505618,1.534
SRS Peenya,5.390941011235955,1.647
Sadahalli Gate,4.954588014981273,1.526
Sangam Circle,4.709222846441947,1.528
Sarjapura Ring Road Junction,5.040697565543072,1.541
Shanthinagara Bus Station,5.742064606741573,1.735
Sharavathi Hotel,4.8262359550561795,1.513
Sheshadripuram College,5.759672284644195,1.717
Shivajinagara Bus Station,7.051970973782772,2.342
Shivananda Store,5.447542134831461,1.727
Singasandra,4.993117977528089,1.583
Sirsi Circle,5.997069288389513,1.871
St Johns Hospital,5.354569288389514,1.717
St Marthas Hospital,6.05810861423221,1.874
Summanahalli,6.051156367041199,1.858
T Dasarahalli,5.402401685393259,1.736
TVS Cross Peenya,4.705543071161049,1.482
Tata Institute,5.823941947565543,1.837
Tin Factory,6.716399812734082,2.191
Town Hall,8.904274344569288,2.636
Vasantha Nagara,5.238595505617977,1.639
Veerannapalya,4.916647940074907,1.539
Venkatala,6.122916666666666,1.861
Veterinary Hospital,5.665763108614232,1.83
Vidhana Soudha Karnataka High Court,5.257303370786517,1.598
Vijayanagara,5.01812734082397,1.589
Vijayanagara Garage,4.919470973782771,1.538
Yalahanka Satellite Town,4.79558520599251,1.504
Yelahanka Old Town,5.060341760299625,1.565
Yelahanka Santhe Circle,6.2124999999999995,1.973
Yeshawanthapura Bus Station,6.9976779026217235,2.173
