stop_name,avg_delay,p75_delay,factor,trip_count,route_count,lat,lon
Anjananagara,6.082,8.16,1.242,674,112,12.986,77.488
Anjanapura,5.464,7.232,1.083,263,23,12.862,77.564
Anjanapura 10 Block,5.029,6.61,1.016,60,1,12.856,77.569
Anjaneya Temple Bidaraguppe,5.169,6.79,1.039,99,22,12.801,77.783
Anjaneya Temple Devanahalli,4.996,6.64,1.019,56,8,13.235,77.713
Anjaneya Temple Nelamangala,6.05,8.192,1.236,725,77,13.097,77.398
Anjaneya Temple Thigalarapalya,5.558,7.562,1.121,416,18,13.014,77.483
Annapoorneshwari nagara Cross,5.145,6.94,1.037,124,8,12.97,77.497
Annapoorneshwarinagara Cross,5.245,6.922,1.04,133,8,12.97,77.497
Annapoorneshwarinagara Water Tank,5.082,6.64,1.016,50,4,12.972,77.497
Annapurneshwari Badavane,5.128,6.742,1.027,72,14,13.139,77.508
Anugondanahalli Cross,5.075,6.695,1.024,52,18,12.959,77.816
Aparel Park,5.381,7.072,1.072,229,20,13.273,77.552
Apex Bank,5.337,7.022,1.064,196,21,12.942,77.556
Apollo Hospital,6.006,8.042,1.234,683,94,12.897,77.6
Aradeshanahalli Gate,5.513,7.15,1.092,260,41,13.216,77.553
Arakere Gate,6.171,8.335,1.246,721,96,12.891,77.598
Aralimara (PK Kalyana Mantapa ),5.305,7.16,1.065,181,30,12.88,77.625
Aralimara Industrial Area  Rajajinagara,5.198,7.08,1.072,240,14,12.979,77.549
Aralimara Sunkadakatte,5.089,7.092,1.021,72,4,12.992,77.505
Aravinda Limited,5.07,6.533,1.044,140,13,12.815,77.67
Arch Lingadeeranahalli,5.799,7.762,1.13,450,18,13.0,77.489
Arch Railway Gollahalli,5.217,6.943,1.026,55,20,13.148,77.412
Arebic College,5.82,7.88,1.157,461,61,13.03,77.621
Arehalli,5.54,7.54,1.12,333,56,12.763,77.767
Arishinakunte,6.524,8.392,1.285,879,92,13.201,77.774
Art Of Living,5.032,6.792,1.039,108,18,12.823,77.514
Art Of Living (Kanakapura Road),5.267,6.762,1.084,208,51,12.823,77.514
Art Of Living Ravishankar Ashram,5.577,7.342,1.127,326,71,12.829,77.513
Ashoka Pillar,5.787,7.652,1.177,589,36,12.944,77.585
Ashrama Ramohalli,5.243,6.91,1.057,128,41,12.906,77.429
Ashwath Nagara,5.877,7.693,1.171,496,70,13.053,77.631
Ashwathkatte Sultanpalya,5.147,6.873,1.063,207,15,13.025,77.603
Ashwathnagara,5.547,7.29,1.12,418,16,13.027,77.58
Attibele,4.957,6.55,1.032,86,16,12.778,77.77
Attibele Bus Stand,5.977,7.912,1.221,720,52,12.779,77.771
Attibele Sulibele,5.0,6.67,1.04,133,8,13.17,77.794
Attiguppe,6.369,8.42,1.321,1058,71,12.958,77.534
Atturu Layout,6.533,8.632,1.331,1131,54,13.098,77.568
Austin Town,5.458,7.402,1.097,320,21,12.962,77.615
Austin Town Neelasandra,4.93,6.43,1.03,97,7,12.962,77.613
Auto Gas/Royal School,5.27,7.142,1.068,221,17,12.901,77.586
Avadadenahalli Gate,5.254,6.86,1.077,240,24,12.747,77.708
Avalahalli,6.028,7.88,1.219,604,104,12.873,77.567
Avalahalli BDA Park Girinagara,4.932,6.6,1.018,56,6,12.943,77.543
Avalahalli Hosakote,6.164,8.27,1.215,604,97,13.036,77.735
Avinash Petrol Bunk,5.185,7.16,1.031,103,7,12.99,77.589
Ayyappa Temple Jalahalli Cross,5.756,7.533,1.171,574,33,13.046,77.522
Ayyappa Temple Yashawanthapura,6.531,8.662,1.319,989,100,13.022,77.563
Ayyappaswamy Temple Madivala,5.736,7.78,1.149,474,41,12.925,77.618
B Channasandra Bridge(Ramamurthy Nagara Ring Road),8.169,11.0,1.58,1883,141,13.013,77.663
B Marenahalli,5.097,6.67,1.019,57,7,13.17,77.74
B Narayanapura,5.659,7.505,1.17,417,104,13.0,77.684
B Narayanapura Ring Road,6.44,8.648,1.321,1067,66,12.996,77.684
BDA Complex Cross Nagarabhavi,5.312,7.14,1.075,240,20,12.972,77.513
BDA Complex HSR Layout,5.037,6.62,1.032,107,7,12.913,77.638
BDA Complex Koramangala,5.571,7.142,1.126,389,40,12.931,77.622
BDA Complex Nagarabhavi,5.429,7.36,1.103,313,35,12.98,77.511
BEL Circle,8.126,10.495,1.632,1977,189,13.046,77.557
BEL Hospital,5.784,7.75,1.154,515,31,13.051,77.557
BEL Market,5.515,7.322,1.117,358,39,13.052,77.552
BEL Market 1,5.376,7.025,1.101,323,27,13.052,77.552
BEML Complex,5.449,7.572,1.107,342,29,12.92,77.52
BEML Gate,5.427,7.342,1.078,191,49,12.971,77.659
BEML Layout 5th stage,6.0,7.722,1.163,513,47,12.907,77.521
BEML Layout Gate,5.971,7.89,1.226,780,33,12.961,77.716
BGS Health City Gate Abhiman Studio,5.253,7.052,1.046,141,15,12.907,77.499
BHEL,8.488,11.422,1.684,2039,252,12.845,77.66
BK Circle,5.792,7.455,1.145,442,49,12.871,77.583
BPL,7.853,10.352,1.567,1646,230,12.985,77.748
BRV Talkies Cubbon Road,5.119,6.762,1.07,184,38,12.979,77.603
BTL College,6.46,8.8,1.316,949,113,12.812,77.695
BTM Layout 16th Main,6.919,9.34,1.354,1186,70,12.917,77.609
BTM Layout Water Tank,6.666,8.93,1.362,1205,75,12.917,77.607
BUC ADM Block,5.578,7.443,1.148,494,30,12.95,77.501
BUC Ladies Hostel,5.68,7.58,1.146,488,29,12.942,77.506
BUC Library,5.7,7.41,1.146,488,29,12.944,77.504
BUC Quarters,5.141,6.863,1.049,168,7,12.952,77.499
BWSSB Quarters Nayandahalli,7.219,9.35,1.461,1337,187,12.94,77.524
BWSSB Tavarekere,5.089,6.83,1.041,114,19,12.97,77.399
Babusabpalya,6.924,9.252,1.427,1368,112,13.023,77.647
Bachahalli Gate,5.729,7.732,1.121,369,41,13.212,77.673
Bachenahatti,5.191,6.79,1.02,52,10,12.955,77.304
Bagalagunte,6.109,8.252,1.252,724,106,13.057,77.507
Bagalur,6.174,8.26,1.216,607,97,13.135,77.668
Bagalur Colony,5.198,6.75,1.058,123,44,13.141,77.671
Bagalur Cross,6.596,8.952,1.35,976,160,13.122,77.611
Bagalur Santhe,6.024,7.855,1.208,588,92,13.133,77.667
Bagluru Old police Station,5.559,6.96,1.078,202,44,13.13,77.667
Baladimmanahalli,5.034,6.685,1.018,53,6,13.19,77.743
Balaji Badavane Sulikere,4.909,6.33,1.031,103,7,12.936,77.443
Balepura Gate,4.987,6.69,1.029,98,5,13.198,77.777
Bamboo Bazaar,8.105,10.755,1.581,1756,203,12.992,77.604
Banasawadi,5.589,7.783,1.125,427,21,13.015,77.652
Banashankari,5.796,7.598,1.144,381,76,12.916,77.574
Banashankari 1st Stage Muneshwara Block KEB,5.199,7.04,1.03,86,12,12.942,77.551
Banashankari Bus Station,8.87,11.47,1.795,2574,198,12.918,77.574
Banashankari Hunasemara,5.582,7.46,1.109,327,40,12.92,77.574
Banashankari Post Office,5.024,6.582,1.025,85,5,12.926,77.57
Bandapura Gate,5.964,7.848,1.201,570,88,13.042,77.745
Bande Kodigehallipalya Cross,5.092,6.82,1.036,81,26,13.173,77.691
Bande Mutt Gate Kengeri,5.333,7.042,1.068,221,17,12.919,77.477
Banglow Sulikere,5.172,6.828,1.044,147,9,12.933,77.452
Bank Amruthahalli,5.082,6.642,1.038,92,24,13.066,77.598
Bank Circle Bashettyhalli,5.382,7.203,1.072,229,20,13.258,77.553
Bank Colony,6.002,7.84,1.166,550,35,12.939,77.553
Bannerughatta Circle,5.718,7.59,1.171,482,76,12.814,77.581
Bannerughatta National Park,5.131,6.82,1.043,141,10,12.801,77.578
Bapujinagara,5.896,7.812,1.176,497,78,12.953,77.542
Basappa Circle,6.297,8.595,1.282,782,132,12.956,77.577
Basavanagara,5.074,6.672,1.028,84,10,12.967,77.683
Basavanagara Kengeri,5.924,7.89,1.217,510,145,12.901,77.467
Basavanagudi Police Station,6.162,8.36,1.27,832,86,12.942,77.574
Basavanahalli,5.187,7.04,1.042,99,28,13.11,77.388
Basavanahalli Cross,5.172,7.155,1.045,104,31,13.102,77.389
Basavanapura Gate,6.082,8.182,1.239,682,102,12.846,77.588
Basavanna Devasthana CK Palya,5.181,6.73,1.048,137,21,12.844,77.606
Basavanna Temple Hoovinayakanahalli,5.144,6.778,1.034,71,26,13.168,77.688
Basaveshwara College,5.967,8.21,1.216,710,48,12.994,77.553
Basaveshwaranagara New Bus Stand,5.058,6.74,1.028,77,13,12.988,77.534
Bashettalli,5.275,7.07,1.076,237,23,13.262,77.553
Bashyam Circle Rajajinagara,5.889,7.94,1.215,702,50,12.985,77.554
Bashyam Circle Sadashivanagara,5.336,7.152,1.062,208,12,13.006,77.579
Bayyanapalya,5.679,7.662,1.157,392,93,12.876,77.544
Bayyandahalli,5.049,6.962,1.022,51,15,13.006,77.442
Bayyandahalli Colony,5.1,6.91,1.021,50,14,13.003,77.442
Bayyappanahalli Cross,5.375,7.11,1.073,254,10,12.985,77.642
Bayyappanahalli Metro Station,6.277,8.23,1.274,695,159,12.99,77.655
Beedi Karmikara Colony Gate,5.205,6.775,1.068,220,16,12.922,77.475
Beerasandra Chapradakallu,4.947,6.613,1.02,59,8,13.28,77.62
Begihalli,5.596,7.44,1.094,255,47,12.798,77.604
Beguru,5.55,7.36,1.133,374,59,13.183,77.68
Beguru Lake,5.615,7.632,1.082,242,32,12.878,77.625
Beguru Nice Road Junction,5.096,6.812,1.026,66,15,12.854,77.609
Bellahalli,5.13,6.665,1.027,71,15,13.099,77.642
Bellahalli Cross,5.652,7.562,1.117,358,39,13.102,77.634
Bellahalli Cross THS Main Road,5.219,7.05,1.032,86,17,13.101,77.635
Bellanduru City Light Appartment,6.249,8.45,1.25,854,41,12.924,77.673
Bellanduru City light Apartment,6.141,8.13,1.246,840,40,12.925,77.674
Bellanduru Gate SJP Road,5.969,7.945,1.175,518,67,12.919,77.67
Bellanduru Petrol Bunk,6.982,9.18,1.422,1440,71,12.923,77.67
Bellathur,5.469,7.258,1.105,305,43,13.004,77.757
Bengaluru Central Jail,5.213,6.912,1.029,70,18,12.874,77.666
Bengaluru Children Hospital,4.968,6.64,1.018,64,2,12.91,77.513
Bengaluru Dairy Circle,8.374,11.09,1.678,1997,262,12.935,77.601
Bengaluru High School,6.266,8.465,1.288,940,68,12.952,77.567
Bengaluru University Gate,6.795,9.052,1.366,1036,160,12.936,77.513
Bengaluru University Quarters,5.748,7.565,1.136,433,38,12.952,77.5
Benniganahalli,6.438,8.542,1.271,690,155,12.994,77.663
Best County,5.239,7.11,1.061,143,41,13.089,77.545
Besthamanahalli,5.026,6.73,1.025,76,9,12.731,77.727
Bettadasanapura,5.396,7.21,1.051,149,21,12.842,77.632
Bettahalasuru Cross,7.745,10.262,1.497,1594,131,13.157,77.623
Bettahalli Layout,6.507,8.94,1.317,1093,47,13.092,77.56
Bettakote,4.856,6.432,1.018,54,7,13.199,77.739
Bevina Mara Kannamangala,5.41,7.08,1.086,249,36,13.028,77.76
Bhadrappa Layout,6.223,8.01,1.236,708,85,13.047,77.573
Bhagya Nagara,5.16,7.05,1.063,172,31,12.861,77.586
Bhakthi Yoga Ashrama,5.042,6.652,1.024,70,10,13.023,77.689
Bhakthipura Cross,5.156,6.89,1.027,79,11,12.757,77.762
Bharathi Nagara,5.957,7.94,1.223,605,111,13.138,77.618
Bharathi Nursing Home Jayanagara,5.339,6.94,1.062,202,15,12.937,77.574
Bhattarahalli,5.993,8.092,1.203,568,93,13.02,77.71
Bheemanakuppe Cross,5.216,6.755,1.059,134,42,12.895,77.437
Bhodhana Hosahalli,5.576,7.592,1.076,149,64,12.979,77.802
Bhoopasandra,5.721,7.675,1.122,420,18,13.042,77.581
Bhoopasandra Ayyappa Bakery,5.484,7.342,1.108,374,15,13.043,77.577
Bhuvanahalli Gate,5.406,7.342,1.117,354,40,13.219,77.68
Bhuvaneshwari Nagara,5.104,6.795,1.025,76,8,13.032,77.605
Bhuvaneshwari Nagara 1st Stage,5.225,7.04,1.079,252,22,12.942,77.49
Bhuvaneshwari Nagara 2nd Stage,5.309,7.03,1.079,252,22,12.943,77.487
Bhuvaneshwari Petrol Bunk,5.019,6.67,1.02,55,9,13.139,77.351
Bible  College Byrathi,5.466,7.17,1.102,258,60,13.071,77.651
Bidadi,5.658,7.8,1.124,381,41,12.797,77.385
Bidadi Railway Station,5.566,7.432,1.07,199,31,12.8,77.391
Bidalapura Cross,5.045,6.72,1.019,60,5,13.197,77.778
Bidaraguppe,5.157,7.25,1.04,102,23,12.806,77.783
Bidarahalli,5.106,6.94,1.035,92,19,13.065,77.717
Bidarahalli Cross,5.183,6.74,1.042,105,24,13.057,77.715
Bidarahalli School,5.071,6.7,1.04,103,23,13.06,77.716
Big Bazzar  ITPL,5.27,7.14,1.052,186,5,12.988,77.732
Big Bazzar ITPL,6.028,8.125,1.28,794,122,12.988,77.732
Bilekahalli,6.158,8.22,1.275,826,98,12.901,77.601
Bileshivale,5.175,6.86,1.029,78,14,13.054,77.671
Billa Kempanahalli Gate,5.393,7.072,1.058,164,26,12.812,77.404
Billapura,5.059,6.78,1.04,103,22,12.837,77.785
Binnamangala,7.452,10.22,1.504,1435,217,12.984,77.641
Binnamangala Towads Nelamangala),5.596,7.525,1.114,340,42,13.087,77.412
Binny MIll,5.161,6.943,1.021,53,12,12.965,77.568
Binny Mill,5.529,7.462,1.113,317,51,12.971,77.566
Binnypet,5.48,7.322,1.129,373,53,12.964,77.562
Biocon Jigani Road,5.368,7.123,1.044,140,13,12.808,77.664
Biscuits Factory,5.049,6.795,1.035,72,28,12.989,77.813
Bolare,5.045,6.61,1.033,94,14,12.754,77.485
Bolare Gate,5.141,6.925,1.018,53,6,12.754,77.485
Bommanahalli,7.464,9.882,1.536,1589,202,13.121,77.368
Bommanahalli Fly Over,5.172,6.67,1.056,185,13,12.906,77.63
Bommasandra,6.458,8.452,1.356,1076,125,12.819,77.689
Bommawara Gate,4.905,6.35,1.02,60,8,13.265,77.68
Bone Mill,6.041,8.15,1.25,722,104,13.064,77.505
Book Factory Thanisandra,5.689,7.68,1.143,426,53,13.062,77.633
Boorugunte,5.249,7.08,1.04,103,22,12.842,77.784
Born Babies,5.176,6.852,1.04,146,2,12.909,77.638
Brigade Atmosphere,5.262,6.94,1.034,107,10,13.265,77.739
Brigade Millenium,5.521,7.41,1.11,367,23,12.892,77.583
Brigade Road,5.139,6.91,1.029,96,6,12.971,77.607
Brook Steel ESI,5.732,7.592,1.172,421,106,12.993,77.705
Brooke Bond,6.179,8.272,1.197,602,66,12.964,77.748
Brundavana Badavane,5.048,6.642,1.028,80,11,12.721,77.718
Brundavana Peenya,6.449,8.752,1.294,946,75,13.02,77.508
Budigere,5.304,7.215,1.057,162,25,13.135,77.748
Budigere Cross,6.285,8.57,1.249,703,111,13.047,77.751
Budihal Gate,5.184,6.842,1.044,141,12,13.131,77.359
Byadarahalli,6.417,8.605,1.28,825,108,12.987,77.257
Byagadadenahalli Gate,5.313,7.152,1.079,243,25,12.752,77.707
Byatarayanapura,8.628,11.142,1.751,2263,266,13.067,77.594
Bychapura,4.898,6.53,1.02,57,9,13.224,77.713
Bychapura Appartment,5.206,6.873,1.018,54,7,13.222,77.718
Byramangala Cross,5.227,6.895,1.071,200,32,12.802,77.397
Byrasandra Cross,5.179,6.91,1.046,136,17,12.975,77.668
Byrathi Bande,5.783,7.652,1.132,347,71,13.078,77.654
Byrathi Cross,5.708,7.332,1.126,316,74,13.057,77.648
Byraveshwaranagara,5.729,7.703,1.117,360,38,12.965,77.523
Byregowdanahalli Colony,5.29,7.352,1.034,102,13,13.064,77.394
Byregowdanahalli3,5.057,6.772,1.028,83,10,13.059,77.394
Byrohalli Gate,5.106,6.89,1.044,147,9,12.934,77.448
C Q A L,5.306,7.142,1.081,251,25,13.012,77.593
C R P F Yelahanka,5.492,7.17,1.129,315,81,13.123,77.576
CBI,7.808,10.262,1.658,1936,255,13.027,77.586
CK Palya Cross,5.095,6.832,1.047,133,20,12.84,77.594
CMH Hospital,5.463,6.992,1.086,239,40,12.978,77.647
CMRIT College,6.02,7.992,1.226,780,33,12.968,77.714
CMTI,6.998,9.282,1.452,1337,172,13.033,77.534
CPRI,5.45,7.12,1.106,340,27,13.015,77.575
CPRI Quarters,5.818,7.675,1.165,577,21,13.022,77.572
CPWD Quarters HSR Layout,5.2,6.882,1.05,168,10,12.914,77.652
CR Police Ground,5.463,7.28,1.097,287,36,12.963,77.56
CS-Bagmane Tech Park,5.06,6.83,1.02,50,11,12.979,77.664
CSI Hospital,6.946,9.44,1.392,1189,135,12.99,77.599
Canara Bank Begur,5.568,7.25,1.085,249,34,12.885,77.625
Canara Bank Hebbala,7.732,10.572,1.565,1605,246,13.036,77.589
Canara Bank Koramangala,5.658,7.292,1.138,430,42,12.935,77.624
Canara Bank Millers Road,5.043,6.512,1.022,69,6,12.995,77.602
Canara Bank Rajajinagara 1st Block,5.619,7.48,1.129,418,32,13.001,77.55
Canara Bank Tannery Road,5.583,7.432,1.16,466,64,13.006,77.612
Canara Bank Vidyaranyapura,5.197,7.08,1.052,155,19,13.072,77.556
Cantonment Railway Station,6.959,9.32,1.385,1166,134,12.995,77.597
Cargo Village,5.97,7.85,1.175,610,23,13.2,77.682
Carmel Convent Jayanagara,5.468,7.04,1.114,349,38,12.927,77.597
Carmelram Gate,5.976,7.722,1.194,580,71,12.903,77.704
Cauvery Bhavana,6.003,8.322,1.238,708,88,12.974,77.582
Cauvery Nagara,5.311,7.03,1.077,277,6,13.0,77.531
Central,8.605,11.755,1.791,2443,252,12.99,77.572
Central Silk Board,8.401,11.37,1.719,2409,141,12.918,77.624
Chaithanya Samarpan Apartment,5.364,7.22,1.086,249,36,13.021,77.762
Chakkalatti,5.244,7.162,1.078,202,44,13.123,77.668
Chamarajapet,7.957,10.462,1.59,1766,214,12.957,77.568
Chambenahalli,5.818,7.92,1.192,585,64,12.879,77.762
Chamundeshwari Layout,5.681,7.772,1.151,505,30,13.065,77.56
Chandapura,6.788,9.155,1.37,1125,127,12.803,77.705
Chandapura KEB,5.609,7.36,1.119,358,43,12.799,77.706
Chandra Layout,5.424,7.222,1.09,260,38,12.959,77.527
Chandra Layout Circle,5.359,7.1,1.077,202,41,12.958,77.527
Chandra Public School,5.526,7.25,1.075,202,37,12.96,77.53
Chandrappa Circle,5.061,6.78,1.035,72,28,12.911,77.37
Chandrappanagara,5.228,7.155,1.032,107,6,12.941,77.603
Channadasipalya,5.437,7.28,1.092,228,55,12.971,77.415
Channahalli Gate,4.837,6.21,1.024,85,2,13.213,77.755
Channammanakere Achukattu,5.028,6.38,1.026,82,7,12.928,77.556
Channappa Circle,5.017,6.592,1.024,51,19,12.91,77.373
Channasandra,6.269,8.04,1.237,621,128,12.903,77.521
Channasandra Colony,5.403,7.14,1.053,160,19,12.903,77.516
Channenahalli,5.374,7.268,1.092,229,56,12.978,77.431
Channenahalli Arch,5.447,7.345,1.09,226,54,12.98,77.435
Chapradakallu,4.973,6.57,1.014,50,1,13.279,77.625
Charls School Toll Gate,5.428,7.05,1.126,301,82,13.006,77.621
Chatra (Yeliyuru Gate),4.999,6.74,1.035,108,11,13.277,77.758
Cheemasandra Gate,5.84,7.95,1.198,565,85,13.039,77.74
Chikka Banavara,6.224,8.252,1.268,803,96,13.081,77.503
Chikka Basti,5.147,6.84,1.021,64,7,12.945,77.475
Chikka Basti Masjid,5.073,6.82,1.054,175,13,12.942,77.474
Chikka Bettahalli,6.491,8.7,1.324,1110,51,13.089,77.556
Chikka Bommasandra Cross,7.178,9.465,1.428,1451,75,13.094,77.583
Chikka Byalakere,5.033,6.703,1.043,105,27,13.12,77.522
Chikka Gollarahatti,5.922,7.772,1.209,592,91,12.991,77.466
Chikka Gubbi Cross,5.404,7.28,1.093,239,53,13.084,77.654
Chikka Hagade Gate,5.468,7.162,1.075,235,22,12.731,77.706
Chikka Sanne Gate,5.481,7.123,1.119,364,39,13.23,77.691
Chikka Tattamangala Gate,5.091,6.69,1.035,108,11,13.28,77.763
Chikka Thirupathi,5.261,6.992,1.028,61,20,12.895,77.867
Chikkabanavara Railway Station,5.976,7.882,1.213,622,84,13.076,77.505
Chikkabidarakallu,6.231,8.202,1.253,722,108,13.052,77.488
Chikkahosahalli Gate,5.169,6.925,1.024,85,2,13.207,77.763
Chikkajala,7.174,9.622,1.458,1507,103,13.173,77.633
Chikkallasandra,5.023,6.572,1.042,138,9,12.915,77.552
Chikkallasandra Aralimara,5.515,7.352,1.138,414,49,12.912,77.552
Chikkallasandra Bank Colony,5.497,7.162,1.096,277,39,12.909,77.549
Chikkammanapalya,5.022,6.502,1.027,96,3,12.95,77.423
Chikkanahalli,5.097,6.792,1.05,103,40,12.882,77.355
Chikkegowdanapalya,5.075,6.73,1.039,124,11,12.879,77.515
Chinnaswamy Stadium,5.062,6.75,1.024,71,9,12.977,77.599
Chinnayyanapalya Silk Farm,5.843,7.64,1.152,395,84,12.854,77.523
Chokkanahalli,5.016,6.752,1.027,64,17,13.082,77.625
Chokkanahalli Gate,5.626,7.275,1.122,361,46,13.085,77.635
Cholanayakanahalli,5.209,7.002,1.025,65,14,12.96,77.36
Choodasandra Circle,5.166,6.98,1.024,57,15,12.889,77.673
Choudappa Layout,5.111,6.76,1.035,80,24,13.11,77.528
Chowdareddy Circle,5.739,7.67,1.137,434,38,12.711,77.699
Chowdeshwarinagara,5.162,6.73,1.045,130,18,12.998,77.399
Chowdeshwarinagara Bus Stand,5.163,6.892,1.025,91,1,13.001,77.521
Chowdeshwarinagara JP Park,5.33,7.212,1.041,124,15,13.033,77.554
Christ School,5.122,6.682,1.028,63,19,12.799,77.512
Christal House Learning School,5.084,6.9,1.028,72,16,13.094,77.652
Chunchanakuppe,4.989,6.575,1.036,71,30,12.91,77.386
Cipla Avalahalli,5.952,7.863,1.199,551,93,13.033,77.731
